coord_id,w2v_sentence
1387761892525860595,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_black_denim_데님 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1387771408530818305,상의_yellow_cotton_셔츠/블라우스_남성_여름_minimal 상의_black_cotton_반소매 티셔츠_남성_여름_minimal 하의_black_polyester_숏 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1387771057984866916,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1387747327531545478,상의_black_denim_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_gray_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_부츠/워커_남성_여름_minimal
1387761447935427560,상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_navy_denim_데님 팬츠_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1387768933329456664,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 상의_black_cotton_민소매 티셔츠_남성_여름_minimal 하의_black_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1387750479609724875,상의_black_cotton_니트/스웨터_남성_여름_minimal 하의_gray_polyester_숏 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1386951275240236494,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1386960847429300722,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 상의_beige_cotton_민소매 티셔츠_남성_여름_minimal 하의_black_denim_데님 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1386949094441368128,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 하의_navy_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_beige_leather_스니커즈_남성_여름_minimal
1386952788373154587,아우터_black_cotton_카디건_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_beige_polyester_숏 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1386947691674931506,상의_gray_cotton_셔츠/블라우스_남성_여름_minimal 하의_gray_polyester_숏 팬츠_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1386959931501931004,상의_orange_cotton_셔츠/블라우스_남성_여름_minimal 상의_gray_cotton_민소매 티셔츠_남성_여름_minimal 하의_gray_polyester_숏 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1386957289821975286,상의_gray_cotton_반소매 티셔츠_남성_여름_minimal 상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_white_leather_스니커즈_남성_여름_minimal
1386583308542606887,상의_green_cotton_피케/카라 티셔츠_남성_여름_minimal 하의_beige_cotton_데님 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1386581574177887363,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_gray_polyester_기타 하의_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1386573539905587869,하의_beige_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_white_leather_스니커즈_남성_여름_minimal
1386582173853348329,상의_red_cotton_반소매 티셔츠_남성_여름_minimal 하의_gray_cotton_숏 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1386580988638374719,상의_black_cotton_셔츠/블라우스_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1386578377722697569,아우터_beige_cotton_카디건_남성_여름_minimal 하의_brown_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1386563049182616348,상의_beige_cotton_반소매 티셔츠_남성_여름_minimal 하의_brown_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1386571406335648080,아우터_white_cotton_카디건_남성_여름_minimal 하의_black_polyester_숏 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1385262808849021459,상의_blue_cotton_피케/카라 티셔츠_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_beige_leather_구두_남성_여름_minimal
1385278815967834531,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 상의_beige_cotton_민소매 티셔츠_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1385262300436379452,상의_gray_cotton_피케/카라 티셔츠_남성_여름_minimal 상의_purple_polyester_셔츠/블라우스_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1385280193831927798,상의_gray_cotton_피케/카라 티셔츠_남성_여름_minimal 상의_white_polyester_셔츠/블라우스_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1385280705146478240,상의_gray_cotton_니트/스웨터_남성_여름_minimal 하의_beige_cotton_숏 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1385277931402911358,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_navy_cotton_코튼 팬츠_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1385277566134591975,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_beige_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_beige_leather_스니커즈_남성_여름_minimal
1385260165921843579,상의_brown_cotton_피케/카라 티셔츠_남성_여름_minimal 하의_green_wool_슈트 팬츠/슬랙스_남성_여름_minimal 신발_white_leather_스니커즈_남성_여름_minimal
1385260908832072914,상의_blue_denim_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_gray_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1384430034115765143,상의_black_denim_셔츠/블라우스_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1384426275236123594,상의_navy_polyester_셔츠/블라우스_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1384426958955464955,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 하의_black_cotton_숏 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1384056343402633707,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 하의_gray_denim_데님 팬츠_남성_여름_minimal 신발_white_leather_샌들/슬리퍼_남성_여름_minimal
1384425731412234903,상의_brown_polyester_셔츠/블라우스_남성_여름_minimal 상의_gray_cotton_민소매 티셔츠_남성_여름_minimal 하의_black_denim_데님 팬츠_남성_여름_minimal 신발_beige_leather_샌들/슬리퍼_남성_여름_minimal
1384420183652474217,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 하의_beige_cotton_숏 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1384420779848091362,상의_green_cotton_셔츠/블라우스_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_red_leather_샌들/슬리퍼_남성_여름_minimal
1384424577633282438,상의_black_cotton_반소매 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1384059549289759939,상의_black_cotton_반소매 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1384064307665793936,상의_white_cotton_민소매 티셔츠_남성_여름_minimal 상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_black_cotton_숏 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
